Time,Open,High,Low,Last,Change,%Chg,Volume,ATR14_W,RSI14_W,EMA9,EMA20,EMA50,VWAP,RVOL20,RVOL_MOD,RVOL_MOD_EXCL,OBV,StochRSI_K,StochRSI_D
2025-06-09 04:00:00,213.0,213.05,212.95,212.95,0.8609,+0.41%,1200.0,,,,,,212.98333333333335,,0.22256568778979907,0.21842397336293007,0.0,,
2025-06-09 04:01:00,212.94,212.94,212.94,212.94,-0.01,0.00%,586.0,,,,,,212.96911534154538,,0.2883820920263672,0.2829403244117916,-586.0,,
2025-06-09 04:02:00,213.0,213.0,212.95,212.95,0.01,0.00%,1969.0,,,,,,212.9678313359965,,1.2644693114132965,1.2731025564508107,1383.0,,
2025-06-09 04:03:00,212.96,213.03,212.96,213.03,0.08,+0.04%,1780.0,,,,,,212.9803203854261,,1.7659584765038958,1.800434936529611,3163.0,,
2025-06-09 04:04:00,213.03,213.05,212.99,213.05,0.02,+0.01%,1029.0,,,,,,212.98810836888077,,0.917357582241241,0.9154177786902074,4192.0,,
2025-06-09 04:05:00,213.08,213.08,213.08,213.08,0.03,+0.01%,100.0,,,,,,212.98948729491798,,0.10744234800838574,0.10509721492380451,4292.0,,
2025-06-09 04:06:00,213.11,213.18,213.08,213.18,0.1,+0.05%,7645.0,,,,,,213.07346495212803,,7.1616785165257495,8.547679995292317,11937.0,,
2025-06-09 04:07:00,213.21,213.22,213.21,213.22,0.04,+0.02%,200.0,,,,,,213.07543892296735,,0.3020894520432995,0.2961834645002962,12137.0,,
2025-06-09 04:08:00,213.19,213.19,213.19,213.19,-0.03,-0.01%,140.0,,,213.06555555555553,,,213.0765337793251,,0.13826835347787236,0.13542207332609824,11997.0,,
2025-06-09 04:09:00,213.2,213.21,213.2,213.21,0.02,+0.01%,277.0,,,213.09444444444443,,,213.0789488141498,,0.37986528455612467,0.37285854136074403,12274.0,,
2025-06-09 04:10:00,213.22,213.22,213.2,213.2,-0.01,0.00%,251.0,,,213.11555555555555,,,213.0810610353386,,0.37586785860144306,0.36867713210318553,12023.0,,
2025-06-09 04:12:00,213.28,213.3,213.25,213.3,0.1,+0.05%,1493.0,,,213.15244444444446,,,213.0991769646071,,1.5890903043405953,1.619872602547949,13516.0,,
2025-06-09 04:13:00,213.31,213.31,213.16,213.16,-0.14,-0.07%,917.0,,,213.15395555555557,,,213.10495536475807,,1.0370956797104727,1.0382284382284381,12599.0,,
2025-06-09 04:14:00,213.19,213.2,213.17,213.2,0.04,+0.02%,1241.0,0.06000000000000431,69.8412698412682,213.16316444444448,,,213.11056086679415,,1.9114750111466905,1.9597524541186513,13840.0,,
2025-06-09 04:15:00,213.19,213.2,213.19,213.2,0.0,0.00%,300.0,0.05642857142857478,69.8412698412682,213.1705315555556,,,213.1119113341698,,0.460229649946539,0.4525953514685776,13840.0,,
2025-06-09 04:16:00,213.22,213.22,213.22,213.22,0.02,+0.01%,120.0,0.053826530612248735,70.91222030980953,213.1804252444445,,,213.11258520365752,,0.16797820823244553,0.164183642444512,13960.0,,
2025-06-09 04:18:00,213.34,213.34,213.27,213.27,0.05,+0.02%,628.0,0.058553206997088436,73.45048878373233,213.1983401955556,,,213.11829610250217,,0.9928853754940712,0.9926575565980013,14588.0,,
2025-06-09 04:19:00,213.28,213.35,213.28,213.35,0.08,+0.04%,1460.0,0.06008512078300955,76.92068869751155,213.22867215644447,,,213.13255468066492,,2.4212271973466004,2.541635234724076,16048.0,,
2025-06-09 04:21:00,213.37,213.37,213.35,213.35,0.0,0.00%,220.0,0.05722189786993818,76.92068869751155,213.25293772515562,,,213.1348419620214,,0.2547307132459971,0.24926686217008798,16048.0,,
