Criterion,Trades_Met,Win_Rate,Avg_Return,Total_Return
CALL_Bias_Met,10588,1.0,0.3307593502077824,3502.08
CALL_Momentum_Met,15677,1.0,0.3294195317981757,5164.31
Time_1000_1400,25699,1.0,0.3284291217557104,8440.300000000001
Entry_Price_GT_VWAP,17843,1.0,0.32833940480860846,5858.56
Entry_Price_GT_EMA50,18231,1.0,0.32789205199934174,5977.799999999999
Entry_RSI_GT_50,18313,1.0,0.3265723802763064,5980.5199999999995
Entry_StochRSI_GT_70,11269,1.0,0.32475286183334817,3659.6400000000003
Entry_Price_GT_EMA20,18412,1.0,0.32452693895285684,5975.19
Exit_RSI_LT_70,30688,1.0,0.32447797184567256,9957.58
Entry_RSI_GT_55,12239,1.0,0.3232200343165292,3955.8900000000003
Entry_OBV_Top_60pct,23406,1.0,0.3225343928907118,7549.240000000001
Exit_RSI_GT_60,16712,1.0,0.32246170416467207,5388.98
Entry_RSI_GT_60,6722,1.0,0.3221808985421006,2165.7000000000003
Entry_Price_GT_EMA9,18376,1.0,0.32118360905528953,5902.070000000001
Entry_StochRSI_GT_80,7077,1.0,0.3196425038858273,2262.11
Entry_OBV_Top_80pct,33061,1.0,0.31795952935482896,10512.06
Exit_EMA20_GT_EMA50,17163,1.0,0.3136741828351686,5383.589999999999
Exit_RSI_GT_55,18166,1.0,0.31216448310029726,5670.78
Exit_EMA9_GT_EMA20,18190,1.0,0.31135019241341394,5663.46
Exit_Price_GT_VWAP,17898,1.0,0.31121074980444746,5570.05
Exit_Price_GT_EMA50,18339,1.0,0.3109891488085501,5703.2300000000005
Exit_RSI_GT_50,18579,1.0,0.30933850045750577,5747.2
Exit_Price_GT_EMA20,18628,1.0,0.3089279579128194,5754.71
Exit_Price_GT_EMA9,18730,1.0,0.3081580352375868,5771.8
Exit_RSI_GT_45,18854,1.0,0.30719741168982706,5791.9
Exit_RSI_GT_30,30096,1.0,0.3056299840510367,9198.24
Duration_LTE_30min,23786,1.0,0.30372572101236023,7224.42
Exit_RSI_GT_40,19971,1.0,0.30087376696209506,6008.75
Entry_OBV_Top_40pct,19032,1.0,0.29977616645649435,5705.34
Time_1400_1555,6817,1.0,0.2977556109725686,2029.8000000000002
Entry_OBV_Top_20pct,8240,1.0,0.2920679611650486,2406.6400000000003
Duration_LTE_20min,11937,1.0,0.26427243025885905,3154.6200000000003
Duration_LTE_15min,7421,1.0,0.2431612990163051,1804.5
Duration_LTE_10min,2925,1.0,0.22425299145299146,655.94
Duration_LTE_5min,895,1.0,0.21321787709497209,190.83
