ID,Entry_Time,Trade_Type,Exit_Type,Exit_Time,Duration,Price_Change,Return_Pct,Entry_Last,Entry_Volume,Entry_ATR14_W,Entry_RSI14_W,Entry_EMA9,Entry_EMA20,Entry_EMA50,Entry_VWAP,Entry_RVOL20,Entry_RVOL_MOD,Entry_RVOL_MOD_EXCL,Entry_OBV,Entry_StochRSI_K,Entry_StochRSI_D,Exit_Last,Exit_Volume,Exit_ATR14_W,Exit_RSI14_W,Exit_EMA9,Exit_EMA20,Exit_EMA50,Exit_VWAP,Exit_RVOL20,Exit_RVOL_MOD,Exit_RVOL_MOD_EXCL,Exit_OBV,Exit_StochRSI_K,Exit_StochRSI_D
1,2025-08-08 15:21:00,PUT,EXIT,2025-08-08 15:35:00,14.0,-0.32499999999998863,0.147,220.695,30031.0,0.0651912280528779,56.847078978424406,220.6860259445049,220.64258292408817,220.60830400630235,220.67935088051897,0.7228912762469639,0.5311621960340401,0.5251569899389101,-11837176.0,84.46806789115402,90.51630564951796,220.37,67455.0,0.0642674557693395,29.58378089851425,220.50047456447223,220.55733031835496,220.5834995395407,220.6744569642162,1.433247387359249,0.9877293426851946,0.9874338192213724,-12256650.0,3.5439222367597067,6.647534548667415
1,2025-08-08 15:21:00,PUT,STOP_LOSS,2025-08-08 15:29:00,8.0,-0.11499999999998067,0.052,220.695,30031.0,0.0651912280528779,56.847078978424406,220.6860259445049,220.64258292408817,220.60830400630235,220.67935088051897,0.7228912762469639,0.5311621960340401,0.5251569899389101,-11837176.0,84.46806789115402,90.51630564951796,220.58,33834.0,0.0636084648146701,43.96132827305219,220.62983033932568,220.6340112330132,220.61463737723707,220.67885475026884,0.9362288522521626,0.7179588745496425,0.7130537409010977,-11968905.0,8.4821887665161,20.933928149175973
1,2025-08-08 15:21:00,PUT,RUNNER,2025-08-08 15:50:00,29.0,-0.625,0.283,220.695,30031.0,0.0651912280528779,56.847078978424406,220.6860259445049,220.64258292408817,220.60830400630235,220.67935088051897,0.7228912762469639,0.5311621960340401,0.5251569899389101,-11837176.0,84.46806789115402,90.51630564951796,220.07,238063.0,0.0827789304050815,21.990058521825475,220.1728663558736,220.2892812741733,220.43006853977388,220.6411421968056,2.5269129931748946,1.095095291120674,1.0976411571055762,-13314001.0,11.611381163374586,10.951295628113591
2,2025-08-08 15:07:00,CALL,EXIT,2025-08-08 15:11:00,4.0,0.13009999999999877,0.059,220.49,67579.0,0.0631029473487489,39.95805671848684,220.527135135925,220.5690035637396,220.57711688320364,220.680525824998,1.999056365171888,1.0604267160231653,1.0619919034174754,-12078124.0,15.507233726715782,12.312072496218102,220.6201,38675.0,0.062902089734162,55.4153134995615,220.5451825516749,220.5634177407053,220.5730085175015,220.679252699137,1.0677728618659452,0.7261923709006244,0.7213748601651678,-12050212.0,68.57472431161125,45.70246751151061
2,2025-08-08 15:07:00,CALL,STOP_LOSS,2025-08-08 15:12:00,5.0,0.10999999999998522,0.05,220.49,67579.0,0.0631029473487489,39.95805671848684,220.527135135925,220.5690035637396,220.57711688320364,220.680525824998,1.999056365171888,1.0604267160231653,1.0619919034174754,-12078124.0,15.507233726715782,12.312072496218102,220.6,24365.0,0.063051940467436,53.10246952790245,220.55614604134,220.56690176540005,220.57406700701125,220.67917458127,0.6831541449778428,0.4494035137028261,0.4434483646436308,-12074577.0,75.22949910132573,55.54481137478232
2,2025-08-08 15:07:00,CALL,RUNNER,2025-08-08 15:20:00,13.0,0.2949999999999875,0.134,220.49,67579.0,0.0631029473487489,39.95805671848684,220.527135135925,220.5690035637396,220.57711688320364,220.680525824998,1.999056365171888,1.0604267160231653,1.0619919034174754,-12078124.0,15.507233726715782,12.312072496218102,220.785,31672.0,0.061744399441562,69.0514199282073,220.6837824306311,220.6370653371501,220.60476539431468,220.6792814439163,0.7578919156919425,0.5809315349906455,0.5750538053442213,-11807145.0,98.18384155888708,93.54042452869992
3,2025-08-08 14:50:00,PUT,EXIT,2025-08-08 15:02:00,12.0,-0.1449000000000069,0.066,220.685,33422.0,0.0610727576202039,57.78430176496205,220.6895531236898,220.63092884530784,220.57902395644507,220.68430530932807,1.39381453617362,0.6750107474761463,0.6697023071780175,-12002673.0,73.93478216305105,90.15569311542367,220.5401,23538.0,0.0632844773666443,40.98749868412631,220.61213603492715,220.62298492252216,220.59730305646585,220.6833520025267,0.8444867800039825,0.4177545118176916,0.4119050037688109,-12098601.0,7.612078811115196,11.799874321303337
3,2025-08-08 14:50:00,PUT,STOP_LOSS,2025-08-08 15:47:00,57.0,-0.585000000000008,0.265,220.685,33422.0,0.0610727576202039,57.78430176496205,220.6895531236898,220.63092884530784,220.57902395644507,220.68430530932807,1.39381453617362,0.6750107474761463,0.6697023071780175,-12002673.0,73.93478216305105,90.15569311542367,220.1,88638.0,0.0738235707926918,20.27109382365333,220.24653585131549,220.35626678526305,220.47225919361443,220.6519473357252,1.1116552737406276,1.0059664129860275,1.0061128248061089,-13050826.0,3.5215952269759456,9.093134399021192
3,2025-08-08 14:50:00,PUT,RUNNER,2025-08-08 15:03:00,13.0,-0.2150000000000034,0.097,220.685,33422.0,0.0610727576202039,57.78430176496205,220.6895531236898,220.63092884530784,220.57902395644507,220.68430530932807,1.39381453617362,0.6750107474761463,0.6697023071780175,-12002673.0,73.93478216305105,90.15569311542367,220.47,47212.0,0.0644855861261688,35.23510413268892,220.5837088279417,220.608414929901,220.5923107797417,220.68281905418047,1.6361270379245874,0.8441819298005113,0.840985813057687,-12145813.0,5.074719207410131,9.5581559500056
4,2025-08-08 14:27:00,CALL,EXIT,2025-08-08 14:37:00,10.0,0.16500000000002046,0.075,220.42,37353.0,0.0708974126638384,42.40121277079388,220.4449134310722,220.4935134235636,220.529978312925,220.6875729560643,1.1834576365698644,0.8376449155614738,0.8343410251325489,-12158562.0,23.24835651667082,24.9183310259112,220.585,36266.0,0.0689835177484778,57.20745716478698,220.50846457148415,220.49946283587707,220.51856970397844,220.68473215335237,1.214471452419583,0.6178748074683421,0.612169311951478,-12100832.0,88.4734864241932,78.65948890331993
4,2025-08-08 14:27:00,CALL,STOP_LOSS,2025-08-08 14:32:00,5.0,0.11000000000001364,0.05,220.42,37353.0,0.0708974126638384,42.40121277079388,220.4449134310722,220.4935134235636,220.529978312925,220.6875729560643,1.1834576365698644,0.8376449155614738,0.8343410251325489,-12158562.0,23.24835651667082,24.9183310259112,220.53,14329.0,0.070360573050278,52.73545135285125,220.46869803309377,220.48401049694223,220.51797786756228,220.6857392486845,0.4582735665158704,0.2789045468701339,0.27408404063891,-12113488.0,68.44757816379422,50.33154893957626
4,2025-08-08 14:27:00,CALL,RUNNER,2025-08-08 14:49:00,22.0,0.36000000000001364,0.163,220.42,37353.0,0.0708974126638384,42.40121277079388,220.4449134310722,220.4935134235636,220.529978312925,220.6875729560643,1.1834576365698644,0.8376449155614738,0.8343410251325489,-12158562.0,23.24835651667082,24.9183310259112,220.78,24614.0,0.0584629697448351,70.74320481062608,220.6906914046122,220.625237144814,220.5746984036469,220.68424223217187,1.0110578028983603,0.5668191470638065,0.5608930946456451,-11969251.0,99.51071844347818,98.26614859161
5,2025-08-08 13:49:00,PUT,EXIT,2025-08-08 14:14:00,25.0,-0.1699999999999875,0.077,220.66,28901.0,0.0799730450711199,56.58284812583941,220.69056448368457,220.62846899958305,220.53550381021773,220.70026778394944,1.0383679863184485,0.7875018733176634,0.7834413897157123,-11809952.0,55.73900159992264,66.00973822519776,220.49,9473.0,0.0679057386645515,41.48810938295226,220.5353950364029,220.5672611885324,220.5646715245592,220.69356285170775,0.2000937840600893,0.251792888189088,0.2472802817161459,-12101221.0,11.498292041812334,19.41115502409343
5,2025-08-08 13:49:00,PUT,STOP_LOSS,2025-08-08 14:05:00,16.0,-0.14500000000001023,0.066,220.66,28901.0,0.0799730450711199,56.58284812583941,220.69056448368457,220.62846899958305,220.53550381021773,220.70026778394944,1.0383679863184485,0.7875018733176634,0.7834413897157123,-11809952.0,55.73900159992264,66.00973822519776,220.515,88281.0,0.0745191321592783,42.476869617130816,220.59769775571527,220.6144777491245,220.57539491745732,220.6962264888597,2.0479338210305205,1.5483613136217136,1.569350857468909,-12127257.0,19.74719874795134,22.09391346963296
5,2025-08-08 13:49:00,PUT,RUNNER,2025-08-08 14:26:00,37.0,-0.3400000000000034,0.154,220.66,28901.0,0.0799730450711199,56.58284812583941,220.69056448368457,220.62846899958305,220.53550381021773,220.70026778394944,1.0383679863184485,0.7875018733176634,0.7834413897157123,-11809952.0,55.73900159992264,66.00973822519776,220.32,62444.0,0.0678895213302865,31.77411771149788,220.45114178884023,220.50125167867557,220.53446722365663,220.68824347333808,2.0175180689414525,1.521340490722812,1.540934430038123,-12195915.0,12.77339141312755,25.753318280531385
6,2025-08-08 13:03:00,PUT,EXIT,2025-08-08 13:23:00,20.0,0.2849999999999966,-0.129,220.175,25991.0,0.0897419310705637,33.38194483935051,220.24327076337835,220.36757371327624,220.5123553265005,220.7290292632948,0.7998830535337836,0.7121128502596981,0.7071475165284952,-12156808.0,42.60061447060895,34.77127339452927,220.46,39417.0,0.0925453550708973,62.20972716315824,220.31161095888496,220.2936145349936,220.3786715962713,220.70607216526795,1.082264691790554,1.2291281987317553,1.2360357755811926,-11944637.0,95.60885723403972,89.46939659991288
6,2025-08-08 13:03:00,PUT,STOP_LOSS,2025-08-08 13:32:00,29.0,0.464999999999975,-0.211,220.175,25991.0,0.0897419310705637,33.38194483935051,220.24327076337835,220.36757371327624,220.5123553265005,220.7290292632948,0.7998830535337836,0.7121128502596981,0.7071475165284952,-12156808.0,42.60061447060895,34.77127339452927,220.64,30541.0,0.0989457464279879,71.33237524680568,220.50284784292148,220.4195673273126,220.41308785834653,220.7019765467146,0.9171471471471472,0.7410149078527631,0.736363513404642,-11764490.0,96.2356946717287,92.12288540510448
