ticker,alert_kind,alert_direction,ftfc_prev_day_dir,vix_tercile,tod_bucket,regime,horizon,n,hit_rate,hit_rate_ci_lo,hit_rate_ci_hi,baseline_pct_up,lift_pp,mean_ret_bps,std_ret_bps,p_value,p_adj,reject
IWM,gamma_gate_break,CALL,UP,HIGH,afternoon,unknown,5m,23,69.56521739130434,52.06521739130435,86.95652173913044,49.64,19.925217391304344,2.5220733011361722,10.27572715907167,0.05597769529983587,0.21932244551902907,False
IWM,gamma_gate_break,CALL,UP,HIGH,afternoon,unknown,15m,23,60.86956521739131,39.130434782608695,78.3695652173912,50.57,10.299565217391311,3.1772703045501514,25.2736523744167,0.3231703818694631,0.6385609439548814,False
IWM,gamma_gate_break,CALL,UP,HIGH,afternoon,unknown,30m,23,60.86956521739131,39.130434782608695,78.26086956521739,51.2,9.669565217391309,-0.5904241432264246,28.98643087863511,0.3535427959740516,0.6695461825499076,False
IWM,gamma_gate_break,CALL,UP,HIGH,afternoon,unknown,60m,22,45.45454545454545,27.27272727272727,68.18181818181817,51.75,-6.295454545454547,-17.271540329642576,48.5320762249945,0.5545686382958979,0.8111499666629106,False
IWM,gamma_gate_break,CALL,UP,HIGH,afternoon,unknown,1d,23,91.30434782608695,78.26086956521739,100.0,53.3,38.004347826086956,335.39638241996965,287.05030195617854,0.00025897784242712163,0.0034008628758286853,True
IWM,gamma_gate_break,CALL,UP,HIGH,afternoon,unknown,5d,23,82.6086956521739,69.45652173913044,95.65217391304348,54.77,27.838695652173904,239.40205443811908,265.31153882641775,0.007308979807499227,0.0493848199486283,True
IWM,gamma_gate_break,CALL,UP,HIGH,close,unknown,5m,15,66.66666666666666,46.50000000000001,86.66666666666667,49.64,17.026666666666657,4.418905326387172,15.255365679160375,0.1871978265562717,0.4810782854510639,False
IWM,gamma_gate_break,CALL,UP,HIGH,close,unknown,15m,15,66.66666666666666,40.0,86.66666666666667,50.57,16.096666666666657,11.257295172396859,32.44405698468792,0.2124255614389159,0.5070830797170559,False
IWM,gamma_gate_break,CALL,UP,HIGH,close,unknown,1d,17,88.23529411764706,70.58823529411765,100.0,53.3,34.93529411764706,344.3769919597132,316.364037267972,0.0038876961676204136,0.029972883356815447,True
IWM,gamma_gate_break,CALL,UP,HIGH,close,unknown,5d,17,88.23529411764706,70.58823529411765,100.0,54.77,33.465294117647055,440.9047771423366,442.08895796048347,0.0055668024569492935,0.04056298131740491,True
IWM,gamma_gate_break,CALL,UP,HIGH,midday,unknown,5m,81,55.55555555555556,45.67901234567901,66.66666666666666,49.64,5.915555555555557,0.5516080299273985,16.773756036527015,0.28695395257033773,0.6030271057230756,False
