ticker,date,open,high,low,close,volume,rsi_14,atr_14,rvol,volatility_5d,volatility_20d,consecutive_up,consecutive_down,price_vs_vwap,price_vs_ema9,price_vs_ema20,strat_candle,strat_combo,strat_setup,ftfc_score,ftfc_direction,macd,macd_signal,macd_histogram,bb_width,bb_pct,gap_pct,c1d,vix_close
IWM,2016-05-02,112.83,113.51,112.175,113.48,21880990,50.0,1.335000000000008,1.0,,nan,0,0,,nan,nan,nan,nan,,,,nan,nan,nan,nan,nan,,111.62,14.68
IWM,2016-05-03,112.55,112.56,110.93,111.62,37929639,0.0,1.4217857142857215,1.2683243642196105,,nan,0,1,,nan,nan,2D,clean_2d_bear,,,,nan,nan,nan,nan,nan,,110.7,15.6
IWM,2016-05-04,110.99,111.99,110.37,110.7,30762550,0.0,1.4359438775510265,1.018929124702579,,nan,0,2,,nan,nan,2D,22_bear_continuation,,,,nan,nan,nan,nan,nan,,110.26,16.05
IWM,2016-05-05,111.15,111.33,110.1,110.26,26213606,0.0,1.4212336005830963,0.8978278150220507,,nan,0,3,,nan,nan,2D,22_bear_continuation,,,,nan,nan,nan,nan,nan,,110.91,15.91
IWM,2016-05-06,109.8,110.93,109.54,110.91,25495977,19.454921868352926,1.4190026291128754,0.8959615571702214,,nan,1,2,,nan,nan,2D,22_bear_continuation,,,,nan,nan,nan,nan,nan,,111.23,14.72
IWM,2016-05-09,110.92,111.8899,110.625,111.23,23424562,26.985996609249028,1.4079952984619555,0.848166324863227,,nan,2,1,,nan,nan,2U,22_bull_reversal,,,,nan,nan,nan,nan,nan,,112.35,14.57
IWM,2016-05-10,111.66,112.4,111.07,112.35,18634961,46.012659135237314,1.4024242057146739,0.7076223830034438,,nan,3,0,,nan,nan,2U,22_bull_continuation,,,,nan,nan,nan,nan,nan,,110.96,13.63
IWM,2016-05-11,112.1,112.27,110.87,110.96,23600703,34.126741076033085,1.4079653338779108,0.9079682167498718,,nan,2,1,,nan,nan,2D,22_bear_reversal,,,,nan,nan,nan,nan,nan,,110.3708,14.69
IWM,2016-05-12,111.19,111.49,109.498,110.3708,34798515,30.526993447899585,1.4496820957437735,1.2902063764514138,,nan,1,2,,-0.954634936602502,nan,2D,22_bear_continuation,,,,nan,nan,nan,nan,nan,,109.64,14.41
IWM,2016-05-13,110.06,110.94,109.36,109.64,24507878,26.75704151350041,1.458990517476361,0.9170415253459464,,nan,0,3,,-1.2925195829132874,nan,2D,22_bear_continuation,,,,nan,nan,nan,nan,nan,,111.03,15.04
IWM,2016-05-16,109.92,111.52,109.87,111.03,27337046,41.544080580619315,1.4890626233709063,1.0207785506696139,,nan,1,2,,-0.03289908865776225,nan,2U,22_bull_reversal,,,,nan,nan,nan,nan,nan,,109.27,14.68
IWM,2016-05-17,110.88,111.42,108.77,109.27,46671255,32.57606238282206,1.5719867217015564,1.641150044499218,,nan,1,2,,-1.298227657603726,nan,2D,22_bear_reversal,,,,nan,nan,nan,nan,nan,,109.84,15.57
IWM,2016-05-18,108.81,110.661,108.79,109.84,35967936,37.29694195740545,1.5933448130085877,1.2395318496104895,,nan,2,1,,-0.6276682912376012,nan,1,nan,,,,nan,nan,nan,nan,nan,,108.955,15.95
IWM,2016-05-19,109.04,109.77,107.99,108.955,36849284,33.38805566427217,1.6116773263651178,1.2458856441388473,,nan,1,2,,-1.1459363194849308,nan,2D,212_bear_continuation,,,,nan,nan,nan,nan,nan,,110.79,16.33
IWM,2016-05-20,109.29,110.79,109.23,110.79,37403918,46.020470727148094,1.6276289459104671,1.242713379112668,,nan,2,1,,0.41472601982875856,nan,2U,22_bull_reversal,,,,nan,nan,nan,nan,nan,,110.66,15.2
IWM,2016-05-23,110.77,111.39,110.5,110.66,23721741,45.36411588330606,1.5749411640597195,0.7987108752592571,,nan,1,2,,0.23737926324743172,nan,2U,22_bull_continuation,,,,nan,nan,nan,nan,nan,,112.94,15.82
IWM,2016-05-24,111.31,113.22,111.27,112.94,41114736,56.958574241409245,1.6453025094840255,1.353728072867847,,nan,2,1,,1.8336636628653886,nan,2U,22_bull_continuation,,,,nan,nan,nan,nan,nan,,113.6,14.42
IWM,2016-05-25,113.3,113.9,113.08,113.6,26486474,59.629318726136155,1.5963523302351672,0.8783253067168051,,nan,2,1,,1.9336156888830998,nan,2U,22_bull_continuation,,,,nan,nan,nan,nan,nan,,113.47,13.9
IWM,2016-05-26,113.77,114.015,113.25,113.47,15151274,58.854659596582025,1.5369700209326553,0.5159470112758323,,nan,2,1,,1.4483099829101624,nan,2U,22_bull_continuation,,,,nan,nan,nan,nan,nan,,114.6,13.43
IWM,2016-05-27,113.56,114.6,113.51,114.6,21261927,63.315834172761306,1.5079007337231796,0.7341635844316537,,nan,2,1,,1.9572486749980589,2.360369477726741,2U,22_bull_continuation,,,,nan,nan,nan,6.154042727053508,1.0307421714252265,,115.0,13.12
IWM,2016-05-31,114.82,115.54,114.5,115.0,32763266,64.77190966256092,1.4744792527429529,1.1104361564485725,,0.16578060303562792,2,1,,1.8419748990738127,2.4524770206251643,2U,22_bull_continuation,,,,nan,nan,nan,6.696844675397529,1.0361047140886364,,115.78,14.19
IWM,2016-06-01,114.61,115.95,114.42,115.78,26795673,67.48237211300568,1.4784450204041708,0.9256432603959157,,0.1540558843136238,3,0,,2.015971511206454,2.8391121293281754,3,nan,,,,nan,nan,nan,7.707083908093921,1.0400499137720385,,116.67,14.2
IWM,2016-06-02,115.49,116.67,115.37,116.67,23303289,70.29116669110061,1.4656989475181585,0.8155074380482793,,0.15051573372145918,3,0,,2.227658387805407,3.2726431782073897,2U,clean_2u_bull,,,,nan,nan,nan,8.815866167677484,1.039222114944195,,115.97,13.63
IWM,2016-06-03,116.47,116.47,115.0,115.97,28731650,65.49903504901783,1.4802918798382902,1.0010643057771655,,0.15186748845374212,2,1,,1.287291793443849,2.3943063017696793,2D,22_bear_reversal,,,,nan,nan,nan,9.347018072433627,0.903145684623555,,117.22,13.47
IWM,2016-06-06,116.08,117.58,116.01,117.22,26940554,69.49804366164524,1.4895567455641268,0.9363028899944473,,0.15425571897787943,2,1,,1.8942128346143778,3.1543294720786714,2U,22_bull_reversal,,,,nan,nan,nan,10.226684262575077,0.9598469923638627,,117.56,13.65
IWM,2016-06-07,117.29,117.98,116.96,117.56,21038458,70.49966068295426,1.4560169780238328,0.7342234330072469,,0.15425582060198667,2,1,,1.7441693322909764,3.1143803785928945,2U,22_bull_continuation,,,,1.2940988087542138,nan,nan,11.045350238285835,0.9278913658724764,,118.43,14.05
IWM,2016-06-08,117.66,118.64,117.6499,118.43,27999930,72.94762156848019,1.4291586224507018,0.9614609320009743,,0.15287619210987013,3,0,,1.9877722907740678,3.4952849840440234,2U,22_bull_continuation,,,,1.4755619354882725,nan,nan,12.057691187221621,0.9389074092068751,,117.67,14.08
IWM,2016-06-09,117.94,117.94,117.29,117.67,23439126,67.66532638219303,1.4085044351327944,0.8050754895468264,,0.1464237513435045,2,1,,1.063792823701556,2.5546064214068265,2D,22_bear_reversal,,,,1.5402915996190814,nan,nan,12.499019134572194,0.8357631470770327,,116.07,14.64
IWM,2016-06-10,116.58,116.88,115.69,116.07,32686798,58.12306870986633,1.4493255469090236,1.1267963982963107,,0.15533116104579608,1,2,,-0.24847969138758785,1.0484881167455964,2D,22_bear_continuation,,,,1.4458172156803215,nan,nan,12.353955277562022,0.6871263047389142,,114.81,17.03
IWM,2016-06-13,115.65,116.18,114.59,114.81,36397574,51.91427796873479,1.459373722129808,1.229519192054627,,0.15932847968637887,0,3,,-1.0679108024116477,-0.043833744261343704,2D,22_bear_continuation,,,,1.2548094537262386,nan,nan,11.784227212677223,0.5673145540801069,,114.48,20.97
IWM,2016-06-14,114.39,115.11,113.67,114.48,34263423,50.39589362884863,1.4579898848348216,1.1440431741598365,,0.15548059189454355,0,3,,-1.0847519206290295,-0.2996966133099217,2D,22_bear_continuation,,,,1.064534888620031,nan,nan,11.464163772382307,0.5253616404800886,,114.56,20.5
IWM,2016-06-15,114.89,115.56,114.46,114.56,24186552,50.77179132256956,1.432419178775192,0.8390772481981261,,0.14133008404133288,1,2,,-0.8141567671319544,-0.20816331765320437,2U,22_bull_reversal,,,,0.9097096893075332,nan,nan,10.538426590340862,0.5100821502232034,,114.55,20.14
IWM,2016-06-16,113.72,114.59,112.89,114.55,36302731,50.72005132407475,1.4515320945769643,1.258679463244729,,0.14118417910148678,1,2,,-0.6593368235324465,-0.1962600486950458,2D,22_bear_reversal,,,,0.7772431121902486,nan,nan,9.651379745922497,0.4855720110838225,,114.06,19.37
IWM,2016-06-17,114.41,114.92,113.68,114.06,30096390,48.13174147956181,1.436422659250038,1.0558553355482385,,0.13816916548486438,1,2,,-0.8693069331950042,-0.5641655612449438,2U,22_bull_reversal,,,,0.6255129664466352,1.0322187174607937,-0.4067057510141585,8.131307151989972,0.39122290137772925,,115.3,19.41
IWM,2016-06-20,115.8,116.45,115.3,115.3,28219801,54.464551847051645,1.504535326446464,1.0062304233963473,,0.13130601475206646,1,2,,0.16664217671479115,0.4673945337179229,2U,22_bull_continuation,,,,0.5984250976566443,0.9454599934999639,-0.3470348958433196,7.183158079842286,0.5180978893343315,,115.08,18.37
IWM,2016-06-21,115.34,115.41,114.33,115.08,34703278,53.22295813417969,1.4742113745574308,1.2136497789064875,,0.1315693277553849,1,2,,-0.019586862300410606,0.2493738715213661,2D,22_bear_reversal,,,,0.5528328916513061,0.8669345731302325,-0.31410168147892636,5.8779846886500025,0.4470907094058058,,114.63,18.48
IWM,2016-06-22,115.3,115.88,114.49,114.63,27220820,50.67811766691618,1.4681962763747574,0.9756758855606663,,0.11304964261373965,1,2,,-0.3287039713047967,-0.12906696784506144,2U,22_bull_reversal,,,,0.4749149765001164,0.7885306538042093,-0.3136156773040929,5.485784902819631,0.34587437987854064,,116.82,21.17
