ticker,strat_combo,ftfc_direction,vix_tercile,n,mean_1d_bps,std_1d_bps,hit_1d_pct,mean_5d_bps,hit_5d_pct,mean_20d_bps,hit_20d_pct,base_1d,base_5d,base_20d,lift_1d_pp,lift_5d_pp,lift_20d_pp,p_1d,p_5d,p_20d,reject_1d,p_adj_1d,reject_5d,p_adj_5d,reject_20d,p_adj_20d
AAOI,11_inside_compression,,LOW,16,138.36,459.8,62.5,-383.22,43.75,-182.83,31.25,48.39463109629012,50.0977282200917,48.51934139224677,14.10536890370988,-6.347728220091703,-17.269341392246773,0.2588929393543542,0.6115801242148644,0.16692458136482102,False,0.9735947665849756,False,0.9703293002805138,False,0.6984502861449539
AAOI,212_bear_continuation,,HIGH,28,91.1,679.24,67.86,347.79,67.86,486.37,50.0,48.39463109629012,50.0977282200917,48.51934139224677,19.46536890370988,17.762271779908296,1.4806586077532273,0.039295059922469955,0.06013728404920271,0.8754285359673073,False,0.8563812936489524,False,0.8616215613050924,False,0.9785221380368985
AAOI,212_bear_continuation,,LOW,17,67.74,432.51,58.82,776.62,70.59,505.41,47.06,48.39463109629012,50.0977282200917,48.51934139224677,10.425368903709881,20.4922717799083,-1.4593413922467704,0.38971109648727476,0.09105871266887977,0.9041716980731558,False,0.9735947665849756,False,0.8616215613050924,False,0.9799990017520552
AAOI,212_bear_continuation,,MID,11,281.49,412.4,72.73,-151.38,36.36,30.13,36.36,48.39463109629012,50.0977282200917,48.51934139224677,24.335368903709885,-13.737728220091704,-12.159341392246773,0.10629804009058219,0.36215863910482593,0.4197164087090721,False,0.9536123361643117,False,0.930386891879289,False,0.8703709144406826
AAOI,212_bear_reversal,,HIGH,29,169.9,483.9,62.07,483.8,62.07,1214.7,65.52,48.39463109629012,50.0977282200917,48.51934139224677,13.675368903709881,11.972271779908297,17.000658607753223,0.14057798527695353,0.1972397439648621,0.06697670038453252,False,0.9536123361643117,False,0.8965344394382846,False,0.5762008799230546
AAOI,212_bear_reversal,,LOW,29,67.56,525.31,51.72,48.08,51.72,791.39,58.62,48.39463109629012,50.0977282200917,48.51934139224677,3.3253689037098795,1.6222717799082957,10.100658607753225,0.7200904272698805,0.8612962322294138,0.27643994592192556,False,0.9946646092508726,False,0.9927985503039164,False,0.7813078165435712
AAOI,212_bear_reversal,,MID,27,21.63,584.13,44.44,626.37,62.96,1200.01,52.0,48.39463109629012,50.0977282200917,48.51934139224677,-3.9546310962901217,12.862271779908298,3.4806586077532273,0.6809337204493553,0.18132415875553942,0.7174421835615301,False,0.9941281325809966,False,0.8918594926471031,False,0.9539279788583589
AAOI,212_bull_continuation,,HIGH,14,-28.31,920.78,50.0,209.81,57.14,1939.94,78.57,48.39463109629012,50.0977282200917,48.51934139224677,1.6053689037098806,7.0422717799082974,30.05065860775322,0.9043272694479834,0.5981961084821448,0.024463419191237845,False,0.9946646092508726,False,0.9703293002805138,False,0.4113281407466602
AAOI,212_bull_continuation,,LOW,21,-31.22,534.64,33.33,466.64,52.38,2010.78,61.9,48.39463109629012,50.0977282200917,48.51934139224677,-15.064631096290121,2.2822717799082994,13.380658607753226,0.16715340439957016,0.8343123590354622,0.2198617974680892,False,0.9536123361643117,False,0.9927985503039164,False,0.7500926543055814
AAOI,212_bull_continuation,,MID,19,296.65,932.54,57.89,226.81,42.11,1682.77,57.89,48.39463109629012,50.0977282200917,48.51934139224677,9.495368903709881,-7.987728220091704,9.370658607753228,0.4075492736206958,0.48620632911292216,0.41377214352582437,False,0.9735947665849756,False,0.9431794364715026,False,0.8676261721894132
AAOI,212_bull_reversal,,HIGH,30,84.97,436.34,53.33,253.59,50.0,761.97,40.0,48.39463109629012,50.0977282200917,48.51934139224677,4.935368903709879,-0.09772822009170312,-8.519341392246773,0.588561717852,0.9914583217655732,0.35048107893355285,False,0.9933357089788957,False,0.9976408849965377,False,0.8289192739601017
AAOI,212_bull_reversal,,LOW,19,-36.21,233.22,47.37,-110.62,47.37,483.15,47.37,48.39463109629012,50.0977282200917,48.51934139224677,-1.024631096290122,-2.7277282200917057,-1.1493413922467752,0.9287867951644606,0.8120375470553545,0.9201528203702753,False,0.9946646092508726,False,0.9925388462503262,False,0.9824789935556424
AAOI,212_bull_reversal,,MID,21,171.82,437.89,47.62,456.2,57.14,290.41,33.33,48.39463109629012,50.0977282200917,48.51934139224677,-0.774631096290122,7.0422717799082974,-15.189341392246774,0.9433717022226624,0.5186446136816378,0.1636993534022111,False,0.9946646092508726,False,0.9599096254134643,False,0.6951348140883366
AAOI,22_bear_continuation,,HIGH,165,-24.34,508.47,46.67,145.62,49.09,623.13,45.45,48.39463109629012,50.0977282200917,48.51934139224677,-1.7246310962901177,-1.0077282200916997,-3.06934139224677,0.6575528765042316,0.7957196805961315,0.4301856214693327,False,0.9941281325809966,False,0.9909856509397822,False,0.8734996876443494
AAOI,22_bear_continuation,,LOW,118,18.79,500.77,52.54,223.62,52.54,651.94,52.54,48.39463109629012,50.0977282200917,48.51934139224677,4.14536890370988,2.442271779908296,4.0206586077532265,0.3675515183843685,0.5956972027956136,0.38217603807116385,False,0.9735947665849756,False,0.9703293002805138,False,0.8468090071309032
AAOI,22_bear_continuation,,MID,140,43.2,502.2,50.71,-6.75,43.48,319.69,40.88,48.39463109629012,50.0977282200917,48.51934139224677,2.3153689037098815,-6.617728220091706,-7.63934139224677,0.5835553208594102,0.1173384766754273,0.07051451897646244,False,0.9933357089788957,False,0.8616215613050924,False,0.5873308023055521
AAOI,22_bear_reversal,,HIGH,102,71.66,674.85,49.02,228.57,56.86,646.07,54.9,48.39463109629012,50.0977282200917,48.51934139224677,0.6253689037098837,6.762271779908296,6.380658607753226,0.8994283729886718,0.17196578413216956,0.1972606780364936,False,0.9946646092508726,False,0.8903321983739928,False,0.7316037854186004
AAOI,22_bear_reversal,,LOW,93,54.09,610.73,50.54,269.95,50.54,537.36,46.24,48.39463109629012,50.0977282200917,48.51934139224677,2.1453689037098798,0.442271779908296,-2.2793413922467707,0.6788761459039108,0.932020940096314,0.6600701352700253,False,0.9941281325809966,False,0.9950765571822658,False,0.9420186296721315
AAOI,22_bear_reversal,,MID,109,80.22,737.67,48.62,177.98,49.54,536.51,44.04,48.39463109629012,50.0977282200917,48.51934139224677,0.22536890370987805,-0.557728220091704,-4.4793413922467735,0.9624473287633921,0.9072901303635386,0.34941514617661484,False,0.9977196582038915,False,0.9950765571822658,False,0.8286063920687928
AAOI,22_bull_continuation,,HIGH,114,-44.7,810.76,43.86,22.61,45.61,177.32,48.25,48.39463109629012,50.0977282200917,48.51934139224677,-4.53463109629012,-4.487728220091704,-0.26934139224677267,0.3326291542594144,0.3379022594647263,0.9541143919820017,False,0.9735947665849756,False,0.9283252063854446,False,0.9894569782904317
AAOI,22_bull_continuation,,LOW,131,-29.22,580.38,45.04,-9.83,43.51,162.66,38.93,48.39463109629012,50.0977282200917,48.51934139224677,-3.3546310962901202,-6.587728220091705,-9.589341392246773,0.4423052467926869,0.13155381129218502,0.02808738463876881,False,0.9838739907887285,False,0.8616215613050924,False,0.4471310110656021
AAOI,22_bull_continuation,,MID,159,-35.35,585.16,44.03,75.84,45.57,1133.12,52.9,48.39463109629012,50.0977282200917,48.51934139224677,-4.364631096290118,-4.527728220091703,4.380658607753226,0.27077225639869784,0.25351563019696943,0.26905353452565883,False,0.9735947665849756,False,0.9058308568953019,False,0.7796411051897795
AAOI,22_bull_reversal,,HIGH,95,114.65,588.5,60.0,327.36,55.79,903.94,62.11,48.39463109629012,50.0977282200917,48.51934139224677,11.60536890370988,5.692271779908296,13.590658607753227,0.02360674003909402,0.2671584260825246,0.00803799855381504,False,0.7688433682457227,False,0.9099669837467906,False,0.2706282685319092
AAOI,22_bull_reversal,,LOW,93,-5.45,544.24,47.31,246.29,50.54,278.38,44.09,48.39463109629012,50.0977282200917,48.51934139224677,-1.0846310962901171,0.442271779908296,-4.429341392246769,0.8342109435955058,0.932020940096314,0.39273094961573185,False,0.9946646092508726,False,0.9950765571822658,False,0.8523527449383255
AAOI,22_bull_reversal,,MID,126,8.63,553.82,46.03,120.32,53.6,769.1,50.81,48.39463109629012,50.0977282200917,48.51934139224677,-2.3646310962901183,3.5022717799082983,2.2906586077532296,0.5953271700575025,0.4317154353316708,0.6069183870062576,False,0.993722313898833,False,0.9387795014219106,False,0.9344417780716742
AAOI,312_bull_reversal,,HIGH,13,-115.38,213.91,30.77,-27.67,61.54,3706.27,76.92,48.39463109629012,50.0977282200917,48.51934139224677,-17.62463109629012,11.442271779908296,28.40065860775323,0.20352031752543986,0.4093060045737975,0.04047197306500294,False,0.9735947665849756,False,0.9356640603648825,False,0.5186841313384855
AAOI,322_bear_continuation,,HIGH,10,107.87,441.86,60.0,237.83,70.0,1120.33,30.0,48.39463109629012,50.0977282200917,48.51934139224677,11.60536890370988,19.902271779908297,-18.519341392246773,0.46272533891744994,0.20812693468978916,0.24128543683635106,False,0.9846893548325208,False,0.8975111555566314,False,0.7561338625465959
AAOI,322_bear_continuation,,MID,14,54.41,676.6,28.57,284.99,57.14,947.01,57.14,48.39463109629012,50.0977282200917,48.51934139224677,-19.82463109629012,7.0422717799082974,8.620658607753228,0.13772807277957444,0.5981961084821448,0.5186718471371106,False,0.9536123361643117,False,0.9703293002805138,False,0.9124306527932322
AAOI,322_bull_continuation,,HIGH,12,248.94,600.48,66.67,661.33,58.33,986.39,58.33,48.39463109629012,50.0977282200917,48.51934139224677,18.275368903709882,8.232271779908295,9.810658607753226,0.20522401064411633,0.5684406000059838,0.496504086177066,False,0.9735947665849756,False,0.9604396115178934,False,0.9029530383001475
AAOI,322_bull_continuation,,LOW,17,106.27,846.37,52.94,294.69,58.82,1802.2,58.82,48.39463109629012,50.0977282200917,48.51934139224677,4.545368903709878,8.722271779908297,10.300658607753228,0.7076500028721342,0.471981765072949,0.3954436537784287,False,0.9946646092508726,False,0.9431794364715026,False,0.8523527449383255
AAOI,322_bull_continuation,,MID,12,96.91,608.32,33.33,-63.0,50.0,126.91,54.55,48.39463109629012,50.0977282200917,48.51934139224677,-15.064631096290121,-0.09772822009170312,6.0306586077532245,0.2963712909338512,0.9945977064330629,0.6759474060630921,False,0.9735947665849756,False,0.9979758368696187,False,0.9467412179777223
AAOI,clean_2d_bear,,HIGH,14,87.78,363.19,57.14,23.33,50.0,258.37,35.71,48.39463109629012,50.0977282200917,48.51934139224677,8.745368903709881,-0.09772822009170312,-12.809341392246772,0.5126087190797513,0.9941648634666846,0.33756684857815555,False,0.9880207523437985,False,0.9979758368696187,False,0.8236167095893142
